,date,open,high,low,close,volume,vwap,Date_Time
630.0,2013-09-12 08:43:54.674,1685.5,1686.5,1685.0,1686.0,15356.0,1685.6051706173482,2013-09-12 08:43:54.674
631.0,2013-09-12 08:47:59.718,1686.0,1687.5,1685.75,1687.0,16874.0,1686.619503377978,2013-09-12 08:47:59.718
632.0,2013-09-12 08:51:14.807,1687.0,1687.5,1686.25,1686.5,15193.0,1686.8631771210426,2013-09-12 08:51:14.807
633.0,2013-09-12 08:55:44.810,1686.5,1688.0,1686.25,1687.5,17462.0,1687.2114019012713,2013-09-12 08:55:44.810
634.0,2013-09-12 09:02:13.903,1687.5,1688.25,1687.0,1687.25,16905.0,1687.6429458740017,2013-09-12 09:02:13.903
635.0,2013-09-12 09:10:15.197,1687.25,1688.75,1687.25,1688.0,15500.0,1688.123064516129,2013-09-12 09:10:15.197
636.0,2013-09-12 09:18:54.429,1688.0,1688.0,1687.0,1687.25,16269.0,1687.5147980822424,2013-09-12 09:18:54.429
637.0,2013-09-12 09:28:20.141,1687.25,1689.0,1687.25,1688.75,16193.0,1688.1815908108442,2013-09-12 09:28:20.141
638.0,2013-09-12 09:36:33.200,1688.75,1690.0,1688.5,1689.0,16441.0,1689.3440940332096,2013-09-12 09:36:33.200
639.0,2013-09-12 09:47:48.710,1689.0,1690.0,1688.75,1689.25,15408.0,1689.3034462616822,2013-09-12 09:47:48.710
640.0,2013-09-12 09:57:25.455,1689.25,1689.5,1688.25,1688.5,16026.0,1688.9324379133907,2013-09-12 09:57:25.455
641.0,2013-09-12 10:06:17.694,1688.25,1688.5,1687.5,1688.25,16882.0,1688.0800408719347,2013-09-12 10:06:17.694
642.0,2013-09-12 10:13:57.730,1688.25,1688.75,1686.5,1686.75,16936.0,1687.4065599905528,2013-09-12 10:13:57.730
643.0,2013-09-12 10:20:08.398,1686.75,1687.25,1685.25,1686.0,19339.0,1686.074706551528,2013-09-12 10:20:08.398
644.0,2013-09-12 10:29:13.814,1686.0,1687.25,1685.75,1686.5,18252.0,1686.6457237563006,2013-09-12 10:29:13.814
645.0,2013-09-12 10:35:45.385,1686.5,1687.5,1685.25,1686.0,17108.0,1686.2089081131635,2013-09-12 10:35:45.385
646.0,2013-09-12 10:39:47.435,1686.0,1686.25,1684.25,1684.5,18222.0,1684.8833827241795,2013-09-12 10:39:47.435
647.0,2013-09-12 10:51:16.817,1684.5,1685.5,1684.25,1684.5,16989.0,1684.9382835952674,2013-09-12 10:51:16.817
648.0,2013-09-12 11:00:26.570,1684.5,1686.25,1684.25,1684.75,16683.0,1685.384822873584,2013-09-12 11:00:26.570
649.0,2013-09-12 11:07:53.565,1684.75,1685.0,1683.75,1684.25,20378.0,1684.4523383060164,2013-09-12 11:07:53.565
650.0,2013-09-12 11:15:28.033,1684.25,1685.0,1682.5,1683.0,20084.0,1683.5851921927904,2013-09-12 11:15:28.033
651.0,2013-09-12 11:25:25.517,1683.0,1683.75,1681.75,1682.0,18064.0,1682.7548992471213,2013-09-12 11:25:25.517
652.0,2013-09-12 11:35:39.684,1682.0,1683.75,1681.75,1683.5,18526.0,1682.579361437979,2013-09-12 11:35:39.684
653.0,2013-09-12 11:49:15.519,1683.5,1684.5,1683.25,1684.0,18498.0,1683.935763325765,2013-09-12 11:49:15.519
654.0,2013-09-12 12:09:22.093,1684.0,1684.75,1683.25,1684.75,16051.0,1684.208927792661,2013-09-12 12:09:22.093
655.0,2013-09-12 12:20:29.259,1684.75,1687.0,1684.75,1686.75,17532.0,1685.8800764316677,2013-09-12 12:20:29.259
656.0,2013-09-12 12:35:58.676,1686.75,1687.5,1685.5,1686.25,17149.0,1686.6165811417575,2013-09-12 12:35:58.676
657.0,2013-09-12 12:54:12.677,1686.25,1687.25,1685.75,1686.25,16348.0,1686.4057835820895,2013-09-12 12:54:12.677
658.0,2013-09-12 13:16:30.447,1686.25,1686.75,1685.5,1686.25,16733.0,1686.1021484491723,2013-09-12 13:16:30.447
659.0,2013-09-12 13:29:17.473,1686.25,1686.75,1685.0,1685.5,19977.0,1685.68170896531,2013-09-12 13:29:17.473
660.0,2013-09-12 13:44:29.232,1685.5,1686.25,1683.75,1684.5,17587.0,1684.899442770228,2013-09-12 13:44:29.232
661.0,2013-09-12 13:58:12.921,1684.5,1686.75,1684.25,1686.0,20650.0,1685.535460048426,2013-09-12 13:58:12.921
662.0,2013-09-12 14:09:26.516,1686.0,1686.75,1684.25,1684.25,22690.0,1685.46415821948,2013-09-12 14:09:26.516
663.0,2013-09-12 14:18:29.356,1684.25,1684.5,1682.75,1682.75,22063.0,1683.5973009110276,2013-09-12 14:18:29.356
664.0,2013-09-12 14:27:08.758,1682.75,1684.25,1682.5,1683.75,22375.0,1683.3007932960893,2013-09-12 14:27:08.758
665.0,2013-09-12 14:40:14.201,1683.75,1684.25,1683.25,1684.0,23826.0,1683.7912049861495,2013-09-12 14:40:14.201
666.0,2013-09-12 14:50:19.501,1684.0,1684.25,1681.75,1682.0,22392.0,1682.8893913004645,2013-09-12 14:50:19.501
667.0,2013-09-12 14:58:06.273,1682.0,1682.75,1681.25,1682.5,23695.0,1682.21870647816,2013-09-12 14:58:06.273
668.0,2013-09-12 15:00:00.558,1682.5,1684.5,1682.25,1684.5,32000.0,1683.164328125,2013-09-12 15:00:00.558
669.0,2013-09-12 15:03:43.285,1684.5,1685.0,1683.75,1684.5,32007.0,1684.517050957603,2013-09-12 15:03:43.285
670.0,2013-09-12 19:10:03.746,1684.5,1685.75,1678.0,1680.25,31775.0,1684.3060110149488,2013-09-12 19:10:03.746
671.0,2013-09-13 00:32:49.535,1680.25,1680.75,1675.25,1675.5,15789.0,1678.7098929634556,2013-09-13 00:32:49.535
672.0,2013-09-13 02:40:10.385,1675.5,1679.0,1674.0,1678.25,18869.0,1676.4543828501776,2013-09-13 02:40:10.385
673.0,2013-09-13 04:35:33.916,1678.25,1678.5,1674.75,1676.75,17489.0,1676.4494682371776,2013-09-13 04:35:33.916
674.0,2013-09-13 06:44:00.231,1676.75,1678.5,1675.75,1678.5,15208.0,1676.872172540768,2013-09-13 06:44:00.231
